               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,             0.02123,            0.012456,           0.0051832,             0.85758,             0.93741,             0.95673,             0.76451,           0.0091405,           0.0038648,           0.0016265,           0.0097941,           0.0097941,           0.0097941
                  89,            0.021254,            0.012649,            0.004474,             0.88058,             0.93689,              0.9554,             0.70229,           0.0091451,            0.004077,           0.0012678,           0.0097894,           0.0097894,           0.0097894
                  90,            0.020791,            0.012652,           0.0055919,             0.92174,             0.91542,             0.96289,             0.76688,            0.008488,           0.0040489,           0.0014717,           0.0097846,           0.0097846,           0.0097846
                  91,            0.021069,             0.01238,           0.0058274,             0.88034,             0.93718,             0.94949,             0.71749,           0.0091056,           0.0042143,           0.0036542,           0.0097798,           0.0097798,           0.0097798
                  92,            0.019763,            0.012539,           0.0049364,             0.87266,             0.90444,             0.93439,             0.70739,            0.009694,           0.0041569,           0.0023947,           0.0097749,           0.0097749,           0.0097749
                  93,            0.018011,            0.013012,           0.0053041,             0.85249,             0.88959,             0.92747,             0.70284,            0.010247,           0.0043393,           0.0022615,           0.0097699,           0.0097699,           0.0097699
                  94,            0.022116,            0.012915,           0.0052217,             0.84091,             0.93743,             0.94753,             0.74975,           0.0094828,            0.003973,            0.001928,            0.009765,            0.009765,            0.009765
                  95,            0.021133,             0.01285,           0.0053887,             0.90174,              0.9171,             0.95682,             0.76642,           0.0084371,           0.0036969,           0.0020614,           0.0097599,           0.0097599,           0.0097599
                  96,            0.022688,            0.012174,           0.0064278,             0.90326,             0.90389,             0.95399,             0.77164,           0.0088823,           0.0038715,           0.0014616,           0.0097548,           0.0097548,           0.0097548
                  97,            0.019596,            0.011892,           0.0049363,             0.82801,             0.91555,             0.93784,             0.74245,           0.0080632,           0.0037943,             0.00259,           0.0097497,           0.0097497,           0.0097497
                  98,            0.020057,            0.011842,           0.0053596,             0.86441,             0.91694,             0.95085,              0.7413,           0.0089299,           0.0038186,           0.0034712,           0.0097445,           0.0097445,           0.0097445
                  99,            0.020112,            0.011808,            0.005682,             0.89667,             0.93674,             0.96444,             0.77619,           0.0076728,           0.0036724,           0.0029428,           0.0097393,           0.0097393,           0.0097393
                 100,            0.020368,            0.012012,           0.0056691,             0.78823,             0.77049,               0.823,             0.54088,             0.01371,           0.0051203,           0.0085517,            0.009734,            0.009734,            0.009734
                 101,            0.019246,            0.011913,           0.0042168,             0.84368,             0.94643,             0.95332,             0.74495,           0.0085098,           0.0040077,           0.0030421,           0.0097286,           0.0097286,           0.0097286
                 102,            0.019381,            0.012521,           0.0045498,              0.8725,              0.9004,             0.94027,              0.7085,           0.0091928,           0.0039142,           0.0033043,           0.0097232,           0.0097232,           0.0097232
                 103,            0.019194,            0.011966,           0.0049165,             0.90004,             0.93049,             0.95597,             0.77122,           0.0086985,           0.0037558,           0.0025501,           0.0097178,           0.0097178,           0.0097178
                 104,            0.019704,             0.01234,           0.0066311,             0.89929,             0.92824,              0.9569,             0.75115,           0.0090623,           0.0038945,           0.0018024,           0.0097123,           0.0097123,           0.0097123
                 105,             0.01971,            0.011828,            0.004527,             0.88219,             0.91789,             0.95682,             0.75245,           0.0086924,           0.0036943,           0.0020905,           0.0097067,           0.0097067,           0.0097067
                 106,            0.021278,            0.012084,           0.0059357,              0.8708,              0.8695,              0.9422,             0.75228,           0.0087488,           0.0037268,           0.0023576,           0.0097011,           0.0097011,           0.0097011
                 107,            0.020031,            0.012407,           0.0045666,             0.88552,             0.92998,             0.96182,             0.78376,           0.0080035,           0.0035852,            0.002568,           0.0096955,           0.0096955,           0.0096955
                 108,            0.020869,            0.012237,           0.0046638,             0.90836,             0.87755,             0.93903,             0.73008,           0.0091749,           0.0039991,           0.0022778,           0.0096898,           0.0096898,           0.0096898
                 109,            0.018998,            0.012222,           0.0055761,             0.85884,             0.87862,             0.92788,             0.67666,            0.009841,           0.0043195,            0.003903,            0.009684,            0.009684,            0.009684
                 110,             0.02092,             0.01197,           0.0062304,             0.91127,              0.9156,             0.96855,             0.76984,           0.0087053,           0.0038124,           0.0029406,           0.0096782,           0.0096782,           0.0096782
                 111,            0.020587,            0.011814,           0.0039973,             0.90963,             0.89395,             0.95979,             0.77249,           0.0080394,           0.0036964,             0.00296,           0.0096723,           0.0096723,           0.0096723
                 112,            0.020412,            0.011665,           0.0042962,             0.88854,             0.90128,             0.95924,              0.7572,           0.0084074,           0.0036283,           0.0028577,           0.0096664,           0.0096664,           0.0096664
                 113,            0.019054,             0.01175,           0.0045366,             0.88002,             0.94328,             0.95907,             0.77543,           0.0079498,             0.00366,           0.0013995,           0.0096605,           0.0096605,           0.0096605
                 114,            0.017224,            0.011651,           0.0060425,             0.85837,             0.91797,             0.95355,               0.775,            0.008111,           0.0037045,           0.0030066,           0.0096544,           0.0096544,           0.0096544
                 115,            0.020428,            0.011455,           0.0037775,             0.89518,              0.9287,             0.96635,              0.7774,           0.0088097,           0.0035278,           0.0019059,           0.0096484,           0.0096484,           0.0096484
                 116,             0.02117,            0.011486,           0.0032691,             0.90936,             0.96664,              0.9734,              0.7648,           0.0088489,           0.0036392,           0.0017285,           0.0096423,           0.0096423,           0.0096423
                 117,            0.018085,            0.011507,           0.0029424,             0.92222,             0.93107,             0.96524,              0.7704,           0.0081276,           0.0037382,           0.0020807,           0.0096361,           0.0096361,           0.0096361
                 118,            0.018411,            0.012088,           0.0043439,              0.9322,             0.92589,             0.96342,             0.77468,           0.0086595,           0.0038832,           0.0018195,           0.0096299,           0.0096299,           0.0096299
                 119,            0.019136,            0.011311,           0.0037389,             0.90712,             0.92939,              0.9627,             0.75779,           0.0089189,           0.0037809,            0.001632,           0.0096236,           0.0096236,           0.0096236
                 120,            0.018813,            0.011587,           0.0050045,             0.89198,             0.89579,             0.94639,             0.73311,            0.008632,           0.0039233,            0.002959,           0.0096173,           0.0096173,           0.0096173
                 121,            0.017054,            0.011757,           0.0045459,             0.91668,             0.90623,             0.96698,             0.77148,            0.007914,           0.0037046,           0.0012276,            0.009611,            0.009611,            0.009611
                 122,            0.019903,            0.011416,           0.0043881,             0.88176,             0.93023,             0.96061,             0.74559,           0.0082424,           0.0037283,           0.0019271,           0.0096045,           0.0096045,           0.0096045
                 123,            0.018749,            0.011981,           0.0049654,             0.92788,             0.92026,              0.9613,             0.72785,           0.0091264,           0.0036975,           0.0018231,           0.0095981,           0.0095981,           0.0095981
                 124,             0.02242,            0.012388,           0.0047943,             0.95014,             0.91237,             0.97002,             0.77536,           0.0079499,           0.0036335,           0.0018939,           0.0095916,           0.0095916,           0.0095916
                 125,             0.01811,            0.011465,           0.0033672,             0.89868,             0.94812,             0.96664,             0.80081,           0.0076954,           0.0035674,           0.0016013,            0.009585,            0.009585,            0.009585
